match_id,date,time,tour,tournament,surface,round,player_a,player_b,player_a_rank,player_b_rank,diff_rank,player_a_odds,player_b_odds,player_a_implied_prob,player_b_implied_prob,diff_implied_prob,player_a_matches_before,player_b_matches_before,player_a_win_rate_l5,player_b_win_rate_l5,diff_win_rate_l5,player_a_win_rate_all,player_b_win_rate_all,diff_win_rate_all,player_a_streak,player_b_streak,diff_streak,TARGET_player_a_win
ATP-2023-0311-292,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Francisco Cerundolo,Grigor Dimitrov,19.0,26.0,7.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
ATP-2023-0311-293,2023-06-19,nan,ATP,Queen's Club,Grass,R16,Jiri Lehecka,Carlos Alcaraz,36.0,2.0,-34.0,,,,,,3.0,1.0,0.6666666666666666,1.0,-0.33333333333333337,0.6666666666666666,1.0,-0.33333333333333337,1.0,1.0,0.0,0
ATP-2023-0311-294,2023-06-19,nan,ATP,Queen's Club,Grass,QF,Lorenzo Musetti,Holger Rune,16.0,6.0,-10.0,,,,,,2.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,-4.0,0
ATP-2023-0311-295,2023-06-19,nan,ATP,Queen's Club,Grass,QF,Alex De Minaur,Adrian Mannarino,18.0,46.0,28.0,,,,,,2.0,3.0,1.0,0.6666666666666666,0.33333333333333337,1.0,0.6666666666666666,0.33333333333333337,2.0,2.0,0.0,1
ATP-2023-0311-296,2023-06-19,nan,ATP,Queen's Club,Grass,QF,Cameron Norrie,Sebastian Korda,13.0,32.0,19.0,,,,,,6.0,2.0,0.8,1.0,-0.19999999999999996,0.8333333333333334,1.0,-0.16666666666666663,2.0,2.0,0.0,0
ATP-2023-0311-297,2023-06-19,nan,ATP,Queen's Club,Grass,QF,Carlos Alcaraz,Grigor Dimitrov,2.0,26.0,24.0,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1
ATP-2023-0311-298,2023-06-19,nan,ATP,Queen's Club,Grass,SF,Holger Rune,Alex De Minaur,6.0,18.0,12.0,,,,,,7.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,3.0,4.0,0
ATP-2023-0311-299,2023-06-19,nan,ATP,Queen's Club,Grass,SF,Carlos Alcaraz,Sebastian Korda,2.0,32.0,30.0,,,,,,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1
ATP-2023-0311-300,2023-06-19,nan,ATP,Queen's Club,Grass,F,Carlos Alcaraz,Alex De Minaur,2.0,18.0,16.0,,,,,,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,1
ATP-2023-0314-271,2023-07-17,nan,ATP,Gstaad,Clay,R32,Arthur Fils,Dominic Stricker,68.0,106.0,38.0,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0
ATP-2023-0314-272,2023-07-17,nan,ATP,Gstaad,Clay,R32,Jurij Rodionov,Marc Andrea Huesler,118.0,84.0,-34.0,,,,,,0.0,2.0,,0.5,,,0.5,,0.0,-1.0,1.0,1
