threshold,market_threshold,market_tiebreak_band,train_acc,valid_acc,full_acc
0.5,0.53,0.11,0.625414364640884,0.7665198237885462,0.6537102473498233
0.5,0.53,0.12,0.625414364640884,0.7665198237885462,0.6537102473498233
0.495,0.49,0.12,0.6243093922651933,0.7665198237885462,0.6528268551236749
0.495,0.495,0.12,0.6243093922651933,0.7665198237885462,0.6528268551236749
0.525,0.495,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.5,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.5,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.505,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.505,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.505,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.51,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.51,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.51,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.515,0.09,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.515,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.515,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.515,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.52,0.09,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.52,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.52,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.52,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.525,0.09,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.525,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.525,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.525,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.53,0.09,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.53,0.1,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.53,0.11,0.6375690607734806,0.762114537444934,0.6625441696113075
0.525,0.53,0.12,0.6375690607734806,0.762114537444934,0.6625441696113075
0.53,0.525,0.08,0.6353591160220995,0.762114537444934,0.6607773851590106
0.53,0.53,0.08,0.6353591160220995,0.762114537444934,0.6607773851590106
0.52,0.525,0.08,0.6331491712707182,0.762114537444934,0.6590106007067138
0.52,0.53,0.08,0.6331491712707182,0.762114537444934,0.6590106007067138
0.505,0.525,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.505,0.53,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.51,0.525,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.51,0.53,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.515,0.525,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.515,0.53,0.08,0.6287292817679558,0.762114537444934,0.6554770318021201
0.5,0.525,0.08,0.625414364640884,0.762114537444934,0.6528268551236749
0.5,0.53,0.08,0.625414364640884,0.762114537444934,0.6528268551236749
0.495,0.495,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.5,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.5,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.505,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.505,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.505,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.51,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.51,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.51,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.515,0.09,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.515,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.515,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.515,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.52,0.09,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.52,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.52,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.52,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.525,0.09,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.525,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.525,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.525,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.53,0.09,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.53,0.1,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.53,0.11,0.6243093922651933,0.762114537444934,0.6519434628975265
0.495,0.53,0.12,0.6243093922651933,0.762114537444934,0.6519434628975265
0.525,0.525,0.08,0.6375690607734806,0.7577092511013216,0.661660777385159
0.525,0.53,0.08,0.6375690607734806,0.7577092511013216,0.661660777385159
