game_id,date,time,season,home_team,away_team,home_score,away_score,home_p1_goals,away_p1_goals,total_p1_goals,total_goals,is_draw,completed,venue_name,odds_over_under,odds_details,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,odds_data_quality,home_goalie_name,away_goalie_name,home_goalie_id,away_goalie_id,home_goalie_confirmed,away_goalie_confirmed,home_goalie_found,away_goalie_found,goalie_data_quality
401803042,2026-01-08,21:00,2026,COL,OTT,8,2,2,0,2,10,0,1,Ball Arena,6.5,COL -290,-290.0,235.0,-290.0,-112.0,-125.0,real,Scott Wedgewood,Leevi Merilainen,5622,4894703,0,0,1,1,found_both
401803043,2026-01-08,22:00,2026,VGK,CBJ,5,3,1,2,3,8,0,1,T-Mobile Arena,6.5,VGK -135,-135.0,114.0,-135.0,164.0,-108.0,real,Akira Schmid,Jet Greaves,4587845,4894366,0,0,1,1,found_both
401803044,2026-01-08,22:00,2026,SEA,MIN,2,3,0,2,2,5,0,1,Climate Pledge Arena,5.5,MIN -170,142.0,-170.0,-170.0,-185.0,-130.0,real,Philipp Grubauer,Jesper Wallstedt,5657,4874737,0,0,1,1,found_both
401803045,2026-01-09,20:00,2026,CHI,WSH,1,5,0,3,3,6,0,1,United Center,6.5,WSH -135,114.0,-135.0,-135.0,-218.0,105.0,real,Drew Commesso,Logan Thompson,4697450,4272888,0,0,1,1,found_both
401803046,2026-01-09,20:00,2026,WPG,LAK,5,1,2,0,2,6,0,1,Canada Life Centre,5.5,LA -135,114.0,-135.0,-135.0,-230.0,-105.0,real,Eric Comrie,Anton Forsberg,3042057,3036851,0,0,1,1,found_both
401803047,2026-01-09,21:00,2026,UTA,STL,4,2,1,0,1,6,0,1,Delta Center,5.5,UTAH -192,-192.0,160.0,-192.0,136.0,-105.0,real,Karel Vejmelka,Joel Hofer,3942065,4587909,0,0,1,1,found_both
401803048,2026-01-10,13:00,2026,BOS,NYR,10,2,3,1,4,12,0,1,TD Garden,6.5,BOS -130,-130.0,110.0,-130.0,185.0,110.0,real,Jeremy Swayman,Spencer Martin,4712036,3042069,0,0,1,1,found_both
401803049,2026-01-10,15:30,2026,PIT,CGY,1,2,0,1,1,3,0,1,PPG Paints Arena,6.5,PIT -148,-148.0,124.0,-148.0,160.0,102.0,real,Arturs Silovs,Devin Cooley,4576894,4319911,0,0,1,1,found_both
401803050,2026-01-10,16:00,2026,COL,CBJ,4,0,2,0,2,4,0,1,Ball Arena,6.5,COL -285,-285.0,230.0,-285.0,-125.0,-155.0,real,Trent Miner,Elvis Merzlikins,4587836,3151038,0,0,1,1,found_both
401803051,2026-01-10,16:00,2026,SJS,DAL,5,4,0,2,2,9,0,1,SAP Center at San Jose,6.5,DAL -162,136.0,-162.0,-162.0,-170.0,-120.0,real,Alex Nedeljkovic,Casey DeSmith,3114994,3025540,0,0,1,1,found_both
401803052,2026-01-10,19:00,2026,BUF,ANA,5,3,1,0,1,8,0,1,KeyBank Center,6.5,BUF -148,-148.0,124.0,-148.0,154.0,-142.0,real,Ukko-Pekka Luukkonen,Lukas Dostal,4233889,4588165,0,0,1,1,found_both
401803053,2026-01-10,19:00,2026,TOR,VAN,5,0,3,0,3,5,0,1,Scotiabank Arena,6.5,TOR -162,-162.0,136.0,-162.0,154.0,105.0,real,Joseph Woll,Kevin Lankinen,4271575,4341584,0,0,1,1,found_both
401803054,2026-01-10,19:00,2026,MTL,DET,0,4,0,0,0,4,0,1,Bell Centre,6.5,MTL -135,-135.0,114.0,-135.0,180.0,102.0,real,Jacob Fowler,John Gibson,5188437,2590824,0,0,1,1,found_both
401803055,2026-01-10,19:00,2026,OTT,FLA,2,3,1,1,2,5,0,1,Canadian Tire Centre,6.5,OTT -125,-125.0,105.0,-125.0,200.0,100.0,real,Leevi Merilainen,Sergei Bobrovsky,4894703,5571,0,0,1,1,found_both
401803056,2026-01-10,19:00,2026,PHI,TBL,2,7,1,2,3,9,0,1,Xfinity Mobile Arena,5.5,TB -185,154.0,-185.0,-185.0,-166.0,-130.0,real,Samuel Ersson,Andrei Vasilevskiy,4587815,2976847,0,0,1,1,found_both
401803057,2026-01-10,19:00,2026,CAR,SEA,3,2,1,1,2,5,0,1,Lenovo Center,6.5,CAR -305,-305.0,245.0,-305.0,-118.0,114.0,real,Brandon Bussi,Joey Daccord,4996097,3942073,0,0,1,1,found_both
401803058,2026-01-10,20:00,2026,NSH,CHI,0,3,0,0,0,3,0,1,Bridgestone Arena,6.5,NSH -218,-218.0,180.0,-218.0,114.0,102.0,real,Juuse Saros,Drew Commesso,3042109,4697450,0,0,1,1,found_both
401803059,2026-01-10,20:00,2026,MIN,NYI,3,4,2,1,3,7,0,1,Grand Casino Arena,5.5,MIN -155,-155.0,130.0,-155.0,160.0,-118.0,real,Filip Gustavsson,Ilya Sorokin,4272674,3151981,0,0,1,1,found_both
401803060,2026-01-10,22:00,2026,EDM,LAK,3,4,1,1,2,7,0,1,Rogers Place,6.5,EDM -180,-180.0,150.0,-180.0,140.0,-102.0,real,Connor Ingram,Anton Forsberg,4063522,3036851,0,0,1,1,found_both
401803061,2026-01-10,22:00,2026,VGK,STL,4,2,1,1,2,6,0,1,T-Mobile Arena,5.5,VGK -278,-278.0,225.0,-278.0,-105.0,-135.0,real,Akira Schmid,Jordan Binnington,4587845,2590874,0,0,1,1,found_both
401803062,2026-01-11,14:00,2026,WPG,NJD,4,3,1,1,2,7,0,1,Canada Life Centre,5.5,WPG -130,-130.0,110.0,-130.0,205.0,-118.0,real,Connor Hellebuyck,Jake Allen,3020225,5111,0,0,1,1,found_both
401803063,2026-01-11,17:00,2026,BOS,PIT,1,0,1,0,1,1,0,1,TD Garden,6.5,PIT -120,100.0,-120.0,-120.0,-250.0,-105.0,real,Joonas Korpisalo,Stuart Skinner,3069266,4268767,0,0,1,1,found_both
401803064,2026-01-11,19:00,2026,NSH,WSH,3,2,1,1,2,5,0,1,Bridgestone Arena,6.5,WSH -130,110.0,-130.0,-130.0,-230.0,-105.0,real,Justus Annunen,Charlie Lindgren,4393408,3095975,0,0,1,1,found_both
401803065,2026-01-11,19:00,2026,UTA,CBJ,2,3,1,1,2,5,0,1,Delta Center,6.5,UTAH -175,-175.0,145.0,-175.0,150.0,102.0,real,Vitek Vanecek,Jet Greaves,3114996,4894366,0,0,1,1,found_both
401803066,2026-01-11,20:00,2026,SJS,VGK,2,7,1,2,3,9,0,1,SAP Center at San Jose,6.5,VGK -142,120.0,-142.0,-142.0,-192.0,-130.0,real,Yaroslav Askarov,Carl Lindbom,4697394,5188581,0,0,1,1,found_both
401803067,2026-01-12,19:00,2026,BUF,FLA,3,4,1,2,3,7,0,1,KeyBank Center,6.5,BUF -120,-120.0,100.0,-120.0,210.0,105.0,real,Colten Ellis,Sergei Bobrovsky,4736758,5571,0,0,1,1,found_both
401803068,2026-01-12,19:00,2026,DET,CAR,4,3,1,0,1,7,0,1,Little Caesars Arena,6.5,CAR -155,130.0,-155.0,-155.0,-198.0,105.0,real,John Gibson,Frederik Andersen,2590824,2517899,0,0,1,1,found_both
401803069,2026-01-12,19:00,2026,NYR,SEA,2,4,2,0,2,6,0,1,Madison Square Garden,5.5,NYR -142,-142.0,120.0,-142.0,180.0,-130.0,real,Jonathan Quick,Philipp Grubauer,3634,5657,0,0,1,1,found_both
401803070,2026-01-12,19:00,2026,PHI,TBL,1,5,0,1,1,6,0,1,Xfinity Mobile Arena,5.5,TB -142,120.0,-142.0,-142.0,-205.0,-135.0,real,Dan Vladar,Jonas Johansson,3942459,3115546,0,0,1,1,found_both
401803071,2026-01-12,19:30,2026,MTL,VAN,6,3,1,1,2,9,0,1,Bell Centre,6.5,MTL -192,-192.0,160.0,-192.0,124.0,100.0,real,Jakub Dobes,Nikita Tolopilo,4697686,5188534,0,0,1,1,found_both
401803072,2026-01-12,20:00,2026,MIN,NJD,2,5,0,1,1,7,0,1,Grand Casino Arena,5.5,MIN -175,-175.0,145.0,-175.0,145.0,-135.0,real,Jesper Wallstedt,Jacob Markstrom,4874737,5452,0,0,1,1,found_both
401803073,2026-01-12,20:30,2026,CHI,EDM,1,4,0,1,1,5,0,1,United Center,6.5,EDM -180,150.0,-180.0,-180.0,-166.0,-108.0,real,Spencer Knight,Connor Ingram,4565234,4063522,0,0,1,1,found_both
401803074,2026-01-12,22:00,2026,COL,TOR,3,4,2,1,3,7,0,1,Ball Arena,6.5,COL -238,-238.0,195.0,-238.0,100.0,-122.0,real,Trent Miner,Joseph Woll,4587836,4271575,0,0,1,1,found_both
401803075,2026-01-12,22:00,2026,LAK,DAL,1,3,0,1,1,4,0,1,crypto.com Arena,5.5,DAL -120,100.0,-120.0,-120.0,-258.0,-135.0,real,Darcy Kuemper,Jake Oettinger,2610321,4196914,0,0,1,1,found_both
