sport,date,game_id,closing_moneyline_odds,home_moneyline_odds,away_moneyline_odds,closing_spread_odds,closing_total_odds,closing_q1_odds,closing_f5_odds,closing_home_over_odds,closing_corners_odds,closing_btts_odds,closing_spread_line,closing_total_line,odds_over_under,odds_source_provider,draw_moneyline_odds
ncaa_baseball,2026-03-22,6544624,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6544739,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6544885,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6544971,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545062,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545141,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545231,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545324,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545397,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545549,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545618,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545620,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6545828,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546077,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546167,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546243,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546419,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546530,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546566,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546620,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546745,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546833,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546851,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546858,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546949,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6546988,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547186,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547245,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547327,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547375,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547508,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547643,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547795,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547923,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6547964,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548025,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548143,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548235,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548322,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548330,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548402,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548443,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548447,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548535,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548618,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548884,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6548934,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6549024,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6549147,,,,,,,,,,,,,,,
ncaa_baseball,2026-03-22,6549344,,,,,,,,,,,,,,,
